DATE,BAMLC0A0CMEY,BAMLC0A0CM
1997-01-01,7.09,0.61
1997-02-01,7.16,0.59
1997-03-01,7.50,0.57
1997-04-01,7.33,0.59
1997-05-01,7.28,0.61
1997-06-01,7.13,0.58
1997-07-01,6.64,0.56
1997-08-01,6.98,0.57
1997-09-01,6.73,0.54
1997-10-01,6.62,0.67
1997-11-01,6.69,0.72
1997-12-01,6.56,0.70
1998-01-01,6.40,0.78
1998-02-01,6.53,0.76
1998-03-01,6.54,0.72
1998-04-01,6.55,0.72
1998-05-01,6.45,0.71
1998-06-01,6.39,0.75
1998-07-01,6.49,0.82
1998-08-01,6.48,1.27
1998-09-01,6.02,1.32
1998-10-01,6.27,1.48
1998-11-01,6.16,1.23
1998-12-01,6.15,1.19
1999-01-01,6.08,1.16
1999-02-01,6.59,1.09
1999-03-01,6.51,1.07
1999-04-01,6.56,1.07
1999-05-01,6.91,1.09
1999-06-01,7.07,1.15
1999-07-01,7.27,1.21
1999-08-01,7.43,1.28
1999-09-01,7.31,1.21
1999-10-01,7.38,1.17
1999-11-01,7.48,1.17
1999-12-01,7.70,1.16
2000-01-01,7.90,1.22
2000-02-01,7.86,1.29
2000-03-01,7.79,1.48
2000-04-01,8.09,1.61
2000-05-01,8.31,1.77
2000-06-01,7.98,1.71
2000-07-01,7.89,1.69
2000-08-01,7.74,1.72
2000-09-01,7.65,1.66
2000-10-01,7.81,1.89
2000-11-01,7.61,1.99
2000-12-01,7.31,2.02
2001-01-01,6.88,1.76
2001-02-01,6.76,1.81
2001-03-01,6.67,1.77
2001-04-01,6.79,1.63
2001-05-01,6.72,1.55
2001-06-01,6.73,1.55
2001-07-01,6.29,1.50
2001-08-01,6.19,1.53
2001-09-01,6.07,1.85
2001-10-01,5.81,1.93
2001-11-01,6.06,1.71
2001-12-01,6.25,1.65
2002-01-01,6.30,1.71
2002-02-01,6.27,1.81
2002-03-01,6.76,1.71
2002-04-01,6.56,1.88
2002-05-01,6.22,1.62
2002-06-01,6.23,1.87
2002-07-01,6.16,2.27
2002-08-01,5.83,2.22
2002-09-01,5.50,2.37
2002-10-01,5.76,2.46
2002-11-01,5.62,1.98
2002-12-01,5.08,1.88
2003-01-01,5.08,1.74
2003-02-01,4.74,1.66
2003-03-01,4.77,1.58
2003-04-01,4.54,1.34
