DATE,BAMLC0A0CM,BAMLC0A0CMEY
1996-12-31,0.60,7.09
1997-01-01,.,.
1997-01-02,0.60,7.10
1997-01-03,0.61,7.09
1997-01-06,0.61,7.11
1997-01-07,0.61,7.13
1997-01-08,0.60,7.15
1997-01-09,0.62,7.09
1997-01-10,0.73,7.20
1997-01-13,0.61,7.19
1997-01-14,0.61,7.11
1997-01-15,0.61,7.10
1997-01-16,0.60,7.14
1997-01-17,0.60,7.13
1997-01-20,0.60,7.13
1997-01-21,0.61,7.09
1997-01-22,0.60,7.12
1997-01-23,0.60,7.15
1997-01-24,0.60,7.19
1997-01-27,0.60,7.23
1997-01-28,0.60,7.19
1997-01-29,0.60,7.18
1997-01-30,0.60,7.16
1997-01-31,0.61,7.09
1997-02-03,0.61,7.02
1997-02-04,0.61,7.01
1997-02-05,0.60,7.03
1997-02-06,0.60,7.04
1997-02-07,0.61,6.98
1997-02-10,0.60,6.98
1997-02-11,0.60,6.98
1997-02-12,0.60,7.00
1997-02-13,0.60,6.91
1997-02-14,0.59,6.86
1997-02-17,.,.
1997-02-18,0.59,6.87
1997-02-19,0.60,6.90
1997-02-20,0.59,6.96
1997-02-21,0.59,6.95
1997-02-24,0.59,6.98
1997-02-25,0.59,6.98
1997-02-26,0.59,7.14
1997-02-27,0.59,7.15
1997-02-28,0.59,7.16
1997-03-03,0.57,7.17
1997-03-04,0.56,7.20
1997-03-05,0.56,7.19
1997-03-06,0.56,7.22
1997-03-07,0.57,7.16
1997-03-10,0.56,7.16
1997-03-11,0.56,7.17
1997-03-12,0.57,7.20
1997-03-13,0.57,7.31
1997-03-14,0.57,7.29
1997-03-17,0.57,7.30
1997-03-18,0.57,7.30
1997-03-19,0.56,7.32
1997-03-20,0.57,7.33
1997-03-21,0.57,7.33
1997-03-24,0.56,7.31
1997-03-25,0.57,7.34
1997-03-26,0.56,7.38
1997-03-27,0.56,7.48
1997-03-28,.,.
1997-03-31,0.57,7.50
1997-04-01,0.58,7.47
1997-04-02,0.58,7.47
1997-04-03,0.58,7.46
1997-04-04,0.58,7.52
1997-04-07,0.59,7.47
1997-04-08,0.59,7.50
1997-04-09,0.58,7.50
1997-04-10,0.58,7.50
1997-04-11,0.58,7.57
1997-04-14,0.58,7.58
1997-04-15,0.58,7.48
1997-04-16,0.58,7.50
1997-04-17,0.58,7.46
1997-04-18,0.58,7.44
1997-04-21,0.58,7.47
1997-04-22,0.60,7.46
1997-04-23,0.60,7.50
1997-04-24,0.59,7.54
1997-04-25,0.59,7.56
1997-04-28,0.60,7.53
1997-04-29,0.61,7.39
1997-04-30,0.59,7.33
1997-05-01,0.59,7.30
1997-05-02,0.59,7.28
1997-05-05,0.59,7.28
1997-05-06,0.59,7.29
1997-05-07,0.59,7.36
1997-05-08,0.59,7.33
1997-05-09,0.59,7.26
1997-05-12,0.59,7.25
1997-05-13,0.59,7.31
1997-05-14,0.57,7.26
